Date, Open, High, Low, Close
04/23/14, 16513.73, 16525.99, 16477.28, 16501.65
04/22/14, 16449.38, 16565.71, 16449.38, 16514.37
04/21/14, 16408.92, 16459.78, 16402.08, 16449.25
04/17/14, 16424.14, 16460.49, 16368.14, 16408.54
04/16/14, 16266.23, 16424.85, 16266.23, 16424.85
04/15/14, 16173.49, 16272.95, 16063.20, 16262.56
04/14/14, 16028.29, 16184.76, 16028.29, 16173.24
04/11/14, 16168.87, 16168.87, 16015.32, 16026.75
04/10/14, 16437.24, 16456.12, 16153.34, 16170.22
04/09/14, 16256.37, 16438.82, 16256.37, 16437.18
04/08/14, 16245.16, 16296.86, 16180.28, 16256.14
04/07/14, 16414.15, 16421.38, 16244.01, 16245.87
04/04/14, 16576.02, 16631.63, 16392.77, 16412.71
04/03/14, 16572.36, 16604.15, 16527.60, 16572.55
04/02/14, 16532.80, 16588.19, 16506.60, 16573.00
04/01/14, 16458.05, 16565.73, 16457.60, 16532.61
03/31/14, 16324.22, 16480.85, 16324.22, 16457.66
03/28/14, 16267.77, 16414.86, 16267.77, 16323.06
03/27/14, 16268.67, 16300.94, 16191.79, 16264.23
03/26/14, 16370.71, 16466.04, 16268.99, 16268.99
03/25/14, 16279.20, 16407.18, 16279.20, 16367.88
03/24/14, 16303.28, 16380.51, 16215.56, 16276.69
03/21/14, 16332.69, 16456.45, 16290.79, 16302.77
03/20/14, 16221.98, 16353.98, 16160.33, 16331.05
03/19/14, 16335.71, 16363.32, 16126.29, 16222.17
03/18/14, 16245.93, 16369.94, 16245.93, 16336.19
03/17/14, 16066.37, 16270.34, 16066.37, 16247.22
03/14/14, 16106.32, 16165.05, 16046.99, 16065.67
03/13/14, 16341.55, 16405.07, 16084.10, 16108.89
03/12/14, 16350.67, 16364.74, 16260.03, 16340.08
03/11/14, 16419.39, 16460.33, 16325.17, 16351.25
03/10/14, 16453.10, 16453.10, 16334.20, 16418.68
03/07/14, 16424.53, 16505.70, 16398.86, 16452.72
03/06/14, 16360.56, 16450.17, 16360.56, 16421.89
03/05/14, 16395.88, 16406.55, 16343.96, 16360.18
03/04/14, 16169.32, 16419.49, 16169.32, 16395.88
03/03/14, 16321.71, 16321.71, 16071.25, 16168.03
02/28/14, 16273.23, 16398.95, 16226.09, 16321.71
02/27/14, 16197.70, 16276.28, 16159.81, 16272.65
02/26/14, 16180.36, 16252.35, 16155.86, 16198.41
02/25/14, 16207.34, 16254.26, 16147.25, 16179.66
02/24/14, 16102.27, 16300.04, 16102.27, 16207.14
02/21/14, 16135.92, 16191.92, 16093.80, 16103.30
02/20/14, 16044.15, 16161.64, 16006.59, 16133.23
02/19/14, 16126.23, 16225.72, 16031.66, 16040.56
02/18/14, 16153.97, 16167.33, 16107.04, 16130.40
02/14/14, 16018.08, 16175.55, 15985.39, 16154.39
02/13/14, 15946.99, 16039.37, 15863.25, 16027.59
02/12/14, 15993.04, 16036.56, 15928.75, 15963.94
02/11/14, 15804.17, 16027.19, 15803.40, 15994.77
02/10/14, 15793.63, 15801.79, 15733.69, 15801.79
02/07/14, 15630.64, 15798.51, 15625.53, 15794.08
02/06/14, 15443.83, 15632.09, 15443.00, 15628.53
02/05/14, 15443.00, 15478.21, 15340.69, 15440.23
02/04/14, 15372.93, 15481.85, 15356.62, 15445.24
02/03/14, 15697.69, 15708.54, 15356.17, 15372.80
01/31/14, 15847.19, 15847.19, 15617.55, 15698.85
01/30/14, 15743.03, 15907.53, 15733.27, 15848.61
01/29/14, 15927.08, 15927.08, 15708.98, 15738.79
01/28/14, 15840.84, 15945.89, 15840.84, 15928.56
01/27/14, 15879.05, 15942.77, 15783.55, 15837.88
01/24/14, 16203.29, 16203.29, 15879.11, 15879.11
01/23/14, 16371.99, 16372.96, 16140.58, 16197.35
01/22/14, 16420.48, 16453.49, 16332.98, 16373.34
01/21/14, 16459.27, 16520.60, 16316.25, 16414.44
01/17/14, 16408.02, 16495.26, 16378.80, 16458.56
01/16/14, 16477.70, 16477.70, 16375.56, 16417.01
01/15/14, 16378.03, 16505.28, 16376.78, 16481.94
01/14/14, 16261.99, 16373.92, 16260.83, 16373.86
01/13/14, 16434.03, 16453.13, 16240.60, 16257.94
01/10/14, 16453.62, 16487.65, 16379.02, 16437.05
01/09/14, 16471.41, 16525.35, 16378.61, 16444.76
01/08/14, 16527.66, 16528.88, 16416.69, 16462.74
01/07/14, 16429.02, 16562.32, 16429.02, 16530.94
01/06/14, 16474.04, 16532.99, 16405.52, 16425.10
01/03/14, 16456.89, 16518.74, 16439.30, 16469.99
01/02/14, 16572.17, 16573.07, 16416.49, 16441.35
12/31/13, 16512.38, 16588.25, 16511.48, 16576.66
12/30/13, 16484.51, 16504.35, 16476.87, 16504.29
12/27/13, 16486.37, 16529.01, 16461.23, 16478.41
12/26/13, 16370.97, 16483.00, 16370.97, 16479.88
12/24/13, 16295.70, 16360.60, 16295.70, 16357.55
12/23/13, 16225.25, 16318.11, 16225.25, 16294.61
12/20/13, 16178.57, 16287.84, 16178.57, 16221.14
12/19/13, 16162.51, 16194.72, 16121.54, 16179.08
12/18/13, 15876.57, 16173.04, 15808.92, 16167.97
12/17/13, 15884.06, 15917.96, 15836.45, 15875.26
12/16/13, 15759.60, 15930.31, 15759.60, 15884.57
12/13/13, 15745.66, 15792.80, 15717.92, 15755.36
12/12/13, 15844.82, 15845.11, 15703.79, 15739.43
12/11/13, 15970.75, 15997.22, 15827.70, 15843.53
12/10/13, 16024.12, 16029.06, 15969.53, 15973.13
12/09/13, 16019.49, 16058.40, 16015.29, 16025.53
12/06/13, 15825.55, 16022.35, 15825.55, 16020.20
12/05/13, 15886.50, 15896.19, 15809.37, 15821.51
12/04/13, 15910.51, 15960.36, 15791.29, 15889.77
12/03/13, 16004.72, 16004.72, 15859.68, 15914.62
12/02/13, 16087.12, 16098.00, 15986.23, 16008.77
11/29/13, 16105.16, 16174.51, 16074.14, 16086.41
11/27/13, 16073.37, 16107.99, 16057.34, 16097.33
11/26/13, 16070.93, 16120.25, 16070.93, 16072.80
11/25/13, 16072.09, 16109.63, 16055.46, 16072.54
11/22/13, 16008.71, 16068.78, 15976.27, 16064.77
11/21/13, 15908.07, 16016.04, 15908.07, 16009.99
11/20/13, 15971.20, 16016.85, 15865.37, 15900.82
11/19/13, 15974.06, 16025.85, 15943.78, 15967.03
11/18/13, 15962.72, 16030.28, 15942.17, 15976.02
11/15/13, 15876.16, 15962.98, 15875.90, 15961.70
11/14/13, 15806.22, 15884.99, 15798.74, 15876.22
11/13/13, 15739.50, 15822.98, 15672.00, 15821.63
11/12/13, 15773.15, 15793.38, 15708.29, 15750.67
11/11/13, 15759.28, 15791.45, 15737.22, 15783.10
11/08/13, 15591.54, 15764.29, 15579.35, 15761.78
11/07/13, 15751.31, 15797.68, 15586.33, 15593.98
11/06/13, 15628.72, 15750.29, 15628.72, 15746.88
11/05/13, 15631.22, 15651.89, 15522.18, 15618.22
11/04/13, 15621.20, 15658.90, 15588.48, 15639.12
11/01/13, 15558.01, 15649.40, 15543.25, 15615.55
10/31/13, 15619.92, 15651.86, 15544.69, 15545.75
10/30/13, 15680.74, 15721.00, 15574.52, 15618.76
10/29/13, 15572.21, 15683.08, 15572.21, 15680.35
10/28/13, 15569.19, 15599.09, 15533.48, 15568.93
10/25/13, 15523.72, 15570.60, 15512.96, 15570.28
10/24/13, 15414.87, 15528.63, 15414.13, 15509.21
10/23/13, 15465.34, 15465.66, 15366.19, 15413.33
10/22/13, 15394.22, 15518.10, 15394.22, 15467.66
10/21/13, 15401.32, 15410.18, 15362.66, 15392.20
10/18/13, 15371.71, 15412.97, 15321.81, 15399.65
10/17/13, 15369.46, 15376.11, 15229.02, 15371.65
10/16/13, 15170.70, 15374.15, 15170.70, 15373.83
10/15/13, 15300.30, 15301.91, 15161.33, 15168.01
10/14/13, 15231.33, 15309.48, 15136.38, 15301.26
10/11/13, 15126.52, 15237.30, 15100.13, 15237.11
10/10/13, 14806.39, 15126.07, 14806.39, 15126.07
10/09/13, 14778.19, 14852.50, 14719.43, 14802.98
10/08/13, 14938.04, 14938.04, 14773.47, 14776.53
10/07/13, 15069.30, 15069.30, 14920.83, 14936.24
10/04/13, 14994.68, 15083.99, 14972.33, 15072.58
10/03/13, 15127.23, 15127.23, 14947.03, 14996.48
10/02/13, 15182.65, 15182.65, 15044.71, 15133.14
10/01/13, 15132.49, 15208.40, 15110.34, 15191.70
09/30/13, 15249.82, 15249.82, 15086.71, 15129.67
09/27/13, 15317.45, 15317.45, 15211.81, 15258.24
09/26/13, 15274.42, 15387.19, 15274.42, 15328.30
09/25/13, 15339.02, 15372.48, 15253.16, 15273.26
09/24/13, 15402.54, 15433.75, 15327.14, 15334.59
09/23/13, 15452.31, 15466.95, 15368.25, 15401.38
09/20/13, 15635.09, 15654.77, 15448.09, 15451.09
09/19/13, 15677.86, 15695.89, 15625.45, 15636.55
09/18/13, 15533.03, 15709.58, 15470.16, 15676.94
09/17/13, 15503.15, 15555.07, 15503.15, 15529.73
09/16/13, 15381.36, 15549.87, 15381.36, 15494.78
09/13/13, 15312.86, 15380.97, 15312.86, 15376.06
09/12/13, 15327.14, 15345.32, 15283.26, 15300.64
09/11/13, 15194.13, 15326.60, 15194.13, 15326.60
09/10/13, 15067.23, 15192.13, 15067.23, 15191.06
09/09/13, 14927.19, 15088.41, 14927.19, 15063.12
09/06/13, 14941.55, 15009.84, 14789.40, 14922.50
09/05/13, 14929.49, 14987.47, 14923.27, 14937.48
09/04/13, 14832.42, 14956.74, 14799.09, 14930.87
09/03/13, 14801.55, 14933.35, 14777.48, 14833.96
08/30/13, 14844.10, 14848.24, 14762.35, 14810.31
08/29/13, 14817.91, 14916.01, 14792.11, 14840.95
08/28/13, 14770.99, 14867.40, 14760.41, 14824.51
08/27/13, 14939.25, 14939.25, 14765.42, 14776.13
08/26/13, 15014.58, 15049.98, 14945.24, 14946.46
08/23/13, 14988.78, 15025.56, 14931.24, 15010.51
08/22/13, 14908.60, 14989.12, 14899.00, 14963.74
08/21/13, 14993.81, 15019.70, 14880.84, 14897.55
08/20/13, 15011.82, 15074.92, 14992.16, 15002.99
08/19/13, 15076.79, 15106.39, 15005.42, 15010.74
08/16/13, 15112.57, 15139.77, 15054.38, 15081.47
08/15/13, 15332.71, 15332.71, 15094.03, 15112.19
08/14/13, 15447.71, 15453.08, 15316.62, 15337.66
08/13/13, 15420.68, 15504.14, 15342.34, 15451.01
08/12/13, 15415.22, 15441.75, 15359.93, 15419.68
08/09/13, 15496.63, 15507.76, 15346.65, 15425.51
08/08/13, 15477.27, 15557.12, 15418.60, 15498.32
08/07/13, 15516.21, 15516.21, 15421.75, 15470.67
08/06/13, 15608.44, 15608.44, 15473.40, 15518.74
08/05/13, 15651.98, 15655.21, 15584.83, 15612.13
08/02/13, 15627.56, 15658.43, 15558.68, 15658.36
08/01/13, 15503.85, 15650.69, 15503.85, 15628.02
07/31/13, 15528.57, 15634.32, 15492.96, 15499.54
07/30/13, 15534.49, 15593.91, 15479.13, 15520.59
07/29/13, 15557.14, 15557.14, 15482.27, 15521.97
07/26/13, 15547.85, 15560.97, 15405.16, 15558.83
07/25/13, 15539.17, 15560.33, 15455.59, 15555.61
07/24/13, 15576.69, 15602.60, 15496.84, 15542.24
07/23/13, 15547.00, 15604.22, 15544.06, 15567.74
07/22/13, 15543.97, 15576.21, 15516.20, 15545.55
07/19/13, 15524.27, 15544.55, 15491.96, 15543.74
07/18/13, 15465.91, 15589.40, 15465.91, 15548.54
07/17/13, 15456.92, 15502.00, 15438.12, 15470.52
07/16/13, 15485.03, 15498.16, 15415.71, 15451.85
07/15/13, 15459.69, 15509.48, 15455.77, 15484.26
07/12/13, 15460.69, 15498.39, 15410.27, 15464.30
07/11/13, 15298.00, 15483.55, 15298.00, 15460.92
07/10/13, 15298.03, 15348.95, 15258.89, 15291.66
07/09/13, 15228.46, 15320.42, 15228.46, 15300.34
07/08/13, 15137.22, 15262.72, 15137.22, 15224.69
07/05/13, 14995.46, 15137.51, 14971.20, 15135.84
07/03/13, 14923.73, 15025.90, 14858.93, 14988.55
07/02/13, 14973.04, 15049.22, 14870.51, 14932.41
07/01/13, 14911.60, 15083.28, 14911.60, 14974.96
06/28/13, 15016.58, 15034.63, 14884.80, 14909.60
06/27/13, 14921.28, 15075.01, 14921.28, 15024.49
06/26/13, 14769.99, 14938.98, 14769.68, 14910.14
